Date,"San Francisco, California","Hillsborough, Florida","Cook, Illinois","New York, New York","Harris, Texas","Wayne, Michigan","King, Washington","Suffolk, Massachusetts","Milwaukee, Wisconsin","Ontario, Canada",Italy,Spain,France,Germany,United Kingdom,Norway,Sweden,Iran,Turkey,"Beijing, China","Hubei, China","Korea, South",Malaysia,"New South Wales, Australia"
1/22/20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,444,1,0,0
1/23/20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,444,1,0,0
1/24/20,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,36,549,2,0,0
1/25/20,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,41,761,2,3,0
1/26/20,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,68,1058,3,4,3
1/27/20,0,0,1,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,80,1423,4,4,4
1/28/20,0,0,1,0,0,0,1,0,0,1,0,0,4,4,0,0,0,0,0,91,3554,4,4,4
1/29/20,0,0,1,0,0,0,1,0,0,1,0,0,5,4,0,0,0,0,0,111,3554,4,7,4
1/30/20,0,0,1,0,0,0,1,0,0,1,0,0,5,4,0,0,0,0,0,114,4903,4,8,4
1/31/20,0,0,2,0,0,0,1,0,0,3,2,0,5,5,2,0,1,0,0,139,5806,11,8,4
2/1/20,0,0,2,0,0,0,1,1,0,3,2,1,6,8,2,0,1,0,0,168,7153,12,8,4
2/2/20,0,0,2,0,0,0,1,1,0,3,2,1,6,10,2,0,1,0,0,191,11177,15,8,4
2/3/20,0,0,2,0,0,0,1,1,0,3,2,1,6,12,2,0,1,0,0,212,13522,15,8,4
2/4/20,0,0,2,0,0,0,1,1,0,3,2,1,6,12,2,0,1,0,0,228,16678,16,10,4
2/5/20,0,0,2,0,0,0,1,1,0,3,2,1,6,12,2,0,1,0,0,253,19665,19,12,4
2/6/20,0,0,2,0,0,0,1,1,0,3,2,1,6,12,2,0,1,0,0,274,22112,23,12,4
2/7/20,0,0,2,0,0,0,1,1,0,3,3,1,6,13,3,0,1,0,0,297,24953,24,12,4
2/8/20,0,0,2,0,0,0,1,1,0,3,3,1,11,13,3,0,1,0,0,315,27100,24,16,4
2/9/20,0,0,2,0,0,0,1,1,0,3,3,2,11,14,3,0,1,0,0,326,29631,25,16,4
2/10/20,0,0,2,0,0,0,1,1,0,3,3,2,11,14,8,0,1,0,0,337,31728,27,18,4
2/11/20,0,0,2,0,0,0,1,1,0,3,3,2,11,16,8,0,1,0,0,342,33366,28,18,4
2/12/20,0,0,2,0,0,0,1,1,0,3,3,2,11,16,9,0,1,0,0,352,33366,28,18,4
2/13/20,0,0,2,0,0,0,1,1,0,3,3,2,11,16,9,0,1,0,0,366,48206,28,19,4
2/14/20,0,0,2,0,0,0,1,1,0,3,3,2,11,16,9,0,1,0,0,372,54406,28,19,4
2/15/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,0,0,375,56249,28,22,4
2/16/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,0,0,380,58182,29,22,4
2/17/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,0,0,381,59989,30,22,4
2/18/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,0,0,387,61682,31,22,4
2/19/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,2,0,393,62031,31,22,4
2/20/20,0,0,2,0,0,0,1,1,0,3,3,2,12,16,9,0,1,5,0,395,62442,104,22,4
2/21/20,0,0,2,0,0,0,1,1,0,3,20,2,12,16,9,0,1,18,0,396,62662,204,22,4
2/22/20,0,0,2,0,0,0,1,1,0,3,62,2,12,16,9,0,1,28,0,399,64084,433,22,4
2/23/20,0,0,2,0,0,0,1,1,0,3,155,2,12,16,9,0,1,43,0,399,64084,602,22,4
2/24/20,0,0,2,0,0,0,1,1,0,4,229,2,12,16,13,0,1,61,0,399,64287,833,22,4
2/25/20,0,0,2,0,0,0,1,1,0,4,322,6,14,17,13,0,1,95,0,400,64786,977,22,4
2/26/20,0,0,2,0,0,0,1,1,0,4,453,13,18,27,13,1,2,139,0,400,65187,1261,22,4
2/27/20,0,0,2,0,0,0,1,1,0,6,655,15,38,46,15,1,7,245,0,410,65596,1766,23,4
2/28/20,0,0,2,0,0,0,1,1,0,6,888,32,57,48,20,6,7,388,0,410,65914,2337,23,4
2/29/20,0,0,2,0,0,0,6,1,0,11,1128,45,100,79,23,15,12,593,0,411,66337,3150,25,4
3/1/20,0,0,3,0,0,0,9,1,0,15,1694,84,130,130,36,19,14,978,0,413,66907,3736,29,6
3/2/20,0,1,4,1,0,0,14,1,0,18,2036,120,191,159,40,25,15,1501,0,414,67103,4335,29,6
3/3/20,0,2,4,1,0,0,21,1,0,20,2502,165,204,196,51,32,21,2336,0,414,67217,5186,36,13
3/4/20,0,2,4,1,0,0,31,1,0,20,3089,222,285,262,85,56,35,2922,0,418,67332,5621,50,22
3/5/20,2,2,5,4,2,0,51,1,0,22,3858,259,377,482,115,87,94,3513,0,418,67466,6088,50,22
3/6/20,2,2,5,11,3,0,58,3,0,25,4636,400,653,670,163,108,101,4747,0,422,67592,6593,83,26
3/7/20,9,2,6,11,5,0,71,3,0,28,5883,500,949,799,206,147,161,5823,0,426,67666,7041,93,28
3/8/20,9,2,7,12,5,0,83,8,0,29,7375,673,1126,1040,273,176,203,6566,0,428,67707,7314,99,38
3/9/20,9,2,7,19,6,0,83,8,0,34,9172,1073,1209,1176,321,205,248,7161,0,428,67743,7478,117,48
3/10/20,14,2,11,25,6,0,116,10,0,36,10149,1695,1784,1457,382,400,355,8042,0,429,67760,7513,129,55
3/11/20,14,3,22,55,7,1,190,20,0,41,12462,2277,2281,1908,456,598,500,9000,1,435,67773,7755,149,65
3/12/20,18,2,27,95,9,1,270,22,0,42,12462,2277,2281,2078,456,702,599,10075,1,435,67781,7869,149,65
3/13/20,23,3,40,154,9,2,328,26,2,74,17660,5232,3661,3675,798,996,814,11364,5,436,67786,7979,197,92
3/14/20,28,2,50,269,11,6,387,27,6,79,21157,6391,4469,4585,1140,1090,961,12729,5,437,67790,8086,238,112
3/15/20,28,4,50,269,11,8,387,27,6,104,24747,7798,4499,5795,1140,1221,1022,13938,6,442,67794,8162,428,134
3/16/20,40,4,62,463,13,14,488,36,13,177,27980,9942,6633,7272,1543,1333,1103,14991,18,452,67798,8236,566,171
3/17/20,43,7,107,814,16,14,569,42,24,185,31506,11748,7652,9257,1950,1463,1190,16169,47,456,67799,8320,673,210
3/18/20,51,14,178,1871,23,23,562,51,47,221,35713,13910,9043,12327,2626,1550,1279,17361,98,469,67800,8413,790,267
3/19/20,70,20,278,3954,30,44,693,72,62,257,41035,17963,10871,15320,2689,1746,1439,18407,192,480,67800,8565,900,307
3/20/20,76,32,278,5151,55,67,793,86,95,308,47021,20410,12612,19848,3983,1914,1639,19644,359,491,67800,8652,1030,353
3/21/20,84,47,548,7530,68,102,934,108,126,377,53578,25374,14282,22213,5018,2118,1763,20610,670,504,67800,8799,1183,436
3/22/20,108,58,805,9654,74,477,1040,126,182,425,59138,28768,16018,24873,5683,2385,1934,21638,1236,522,67800,8961,1306,669
3/23/20,131,75,922,12305,78,638,1170,154,204,503,63927,35136,19856,29056,6650,2621,2046,23049,1529,537,67800,8961,1518,669
3/24/20,152,91,1194,14904,134,876,1170,234,243,588,69176,39885,22304,32986,8077,2863,2286,24811,1872,558,67801,9037,1624,818
3/25/20,178,106,1418,17856,185,1122,1359,342,325,688,74386,49515,25233,37323,9529,3084,2526,27017,2433,561,67801,9137,1796,1029
3/26/20,223,142,1418,21873,203,1389,1577,448,347,858,80589,57786,29155,43938,11658,3369,2840,29406,3629,566,67801,9241,2031,1219
3/27/20,279,167,2239,25573,229,1810,1577,631,411,994,86498,65719,32964,50871,14543,3755,3069,32332,5698,569,67801,9332,2161,1405
3/28/20,308,195,2613,29776,445,2316,2077,843,541,1144,92472,73235,37575,57695,17089,4015,3447,35408,7402,573,67801,9478,2320,1617
3/29/20,340,218,3445,33768,526,2704,2159,940,606,1355,97689,80110,40174,62095,19522,4284,3700,38309,9217,577,67801,9583,2470,1791
3/30/20,374,253,3727,37453,563,3195,2161,1115,617,1706,101739,87956,44550,66885,22141,4445,4028,41495,10827,577,67801,9661,2626,2032
3/31/20,397,305,4496,43119,680,3735,2330,1373,710,1966,105792,95923,52128,71808,25150,4641,4435,44605,13531,580,67801,9786,2766,2032
4/1/20,434,309,5152,47439,847,4470,2330,1624,780,2392,110574,104118,56989,77872,29474,4863,4947,47593,15679,580,67802,9887,2908,2182
4/2/20,450,404,5575,51809,955,5069,2656,1896,869,2793,115242,112065,59105,84794,33718,5147,5568,50468,18135,582,67802,9976,3116,2298
4/3/20,497,463,6111,57159,1106,6096,2787,2183,1023,3255,119827,119199,64338,91159,38168,5370,6131,53183,20921,584,67802,10062,3333,2389
