Date,Tampa,Chicago,New York,Detroit,Italy_,Norway_,Iran_,Beijing,Sydney,Turkey_,Toronto
1/23/20,15.8,0.4,4.3,0,7.9,1.5,2.5,-1.5,33.3,6.5,0.2
1/24/20,18.5,2.5,4.4,2,9.7,2.7,3.9,-0.5,24.2,4.8,2.3
1/25/20,16.1,1.1,5.7,2.2,11.9,1.6,3.4,-2.5,26,8,2.9
1/26/20,14,-0.5,5.5,2,9.3,3.4,3,-2.8,29.1,10,2.2
1/27/20,16.3,0.2,4.7,1.9,9.4,3.2,4.2,-0.8,25,10.9,1.6
1/28/20,16.1,0.2,3.7,0.9,11.5,1.3,4.5,-0.8,25.3,9,0.4
1/29/20,16,-0.1,1.7,-1,10.5,0.2,4.9,0.5,24.2,10.4,-3.5
1/30/20,15.5,0.6,-0.6,-1.3,9.3,-1.2,5.8,-1.8,25.8,7.3,-2.7
1/31/20,16.9,1,3.1,-0.6,11.9,-0.4,7.3,0.5,28,6.8,-1
2/1/20,16.6,1.6,3.7,-0.3,12.1,2.8,6.1,1.5,30.5,10.2,0
2/2/20,13.3,6.3,3.5,4.2,13.4,1.8,3.3,0.3,23.7,11.3,1.1
2/3/20,15.3,3.8,8,5,12.8,-2.2,3.4,-2.5,23.6,11.8,3.4
2/4/20,17.7,1.4,8.7,1.6,11.5,-2.6,7.3,-3,20.4,12.7,1.9
2/5/20,21.3,-1.8,4.8,-3.5,7.8,-1.5,8.7,-6.5,22.8,11.8,-3.8
2/6/20,22.9,-1.8,3.1,-3.4,7.3,-0.1,11,-6.5,22.3,4,-3.2
2/7/20,15.3,-1.4,4.3,-1.6,5.9,-1.6,12.9,-3.8,20.4,3.6,-4.2
2/8/20,15,-0.9,1.6,-3.8,6.7,1.9,13.3,-1.8,21.3,0.5,-8.5
2/9/20,19,0.1,2.3,-1.2,9.8,3,8.4,-1.3,20.7,1.8,-0.7
2/10/20,22.2,-0.7,6.8,1.6,12.1,4,2,1.3,23.7,5.8,2
2/11/20,21.8,-1.1,6.7,0,13.7,1.4,-2.8,2,24.7,10.2,1.1
2/12/20,22.8,0,5.3,-0.8,12,2,-1.1,2.8,23.4,8,0
2/13/20,23.4,-6.7,4.1,-3.4,10.5,-0.2,6.8,3.8,23.8,8,-2.5
2/14/20,21.9,-14.5,-1.1,-10,13.4,-2.9,6,1,22.8,8.2,-11.3
2/15/20,19.5,-4.4,-4.9,-4.4,10.3,3.6,3.4,-3,22.4,9,-3.4
2/16/20,21.3,-1,2.8,1.9,10.2,5.1,6.2,-0.8,22.3,8.3,1.6
2/17/20,23,2,6.5,-1.1,9.8,4.5,6.4,0.5,22.3,7.5,-1.7
2/18/20,23.9,1.5,4.8,1.9,10.6,3.5,9.5,1.5,25.4,6.8,1.9
2/19/20,24.5,-4.8,5.6,-3.1,10,0.8,9.5,1.5,24.3,8,-2.2
2/20/20,23.4,-7.6,0,-6.4,9.6,0.5,5.1,1.8,21,7.8,-5.7
2/21/20,12.7,-3.8,-1.5,-3.5,9.1,2.9,9.7,3.3,21.9,7.2,-3.5
2/22/20,13.4,3.2,5,2,10.4,4.6,11.8,4.8,21.1,7.1,0.9
2/23/20,17.3,6.5,8.2,5.2,10.8,3.1,13.2,2.5,23.3,6.4,3.3
2/24/20,20.6,4.3,9.7,4.8,13.2,0.3,14.2,4,24.3,9.6,4.3
2/25/20,21.5,2.2,8.5,2,13.4,-1.3,9.4,6.3,25.4,8.9,3.7
2/26/20,19.9,-1.5,7.1,-1.9,11.9,-4.2,5,4.3,26.4,12.5,0.4
2/27/20,12.2,-3,4.9,-5.2,8.5,-7.2,7.5,2.8,22.8,13.1,-3.6
2/28/20,12.1,-4.8,1.9,-4.7,12.8,-5.4,9.8,2.8,21.4,9.3,-4.6
2/29/20,14.8,-2.7,-0.4,-2.7,10.9,-3.5,11.3,2.3,22.9,7.8,-7.7
3/1/20,15.4,7.5,2.1,1.5,13.9,0.1,13.7,4.5,25.1,6.8,-1.6
3/2/20,19.5,5.5,9.1,8.8,13.3,2.3,7,2,25.9,10.5,3.7
3/3/20,21.5,4.3,11.3,4.6,10.7,0.4,6.2,3.5,20.4,14.8,3.2
3/4/20,22.9,4.9,10.3,4.1,9.2,-0.4,9.7,1.5,22.1,13.5,3.5
3/5/20,23.6,5.7,7,2.5,10,-1.8,11.6,2.3,22.7,12.3,1.9
3/6/20,18.9,1,5.4,1.3,12.3,-4,13.8,5,22.4,10.6,2.2
3/7/20,14.7,3.8,5,0.6,10.5,-3.1,13.6,7.8,20.4,14,-0.7
3/8/20,16.9,11.5,8.8,8.8,10.3,2.6,12.1,4.8,18.8,16.4,4.3
3/9/20,19.9,12,15.2,12.8,9,3.8,11.4,7.5,19.1,14.4,7.7
3/10/20,22.5,4.9,16.1,8.6,10.7,2.4,12.8,6.3,19.7,10.6,6.3
3/11/20,21.5,4.1,10.2,4,13.5,3.3,13.8,5.8,20.6,11.6,1.1
3/12/20,22.3,8.3,7.2,6.2,14.2,2.3,16.4,9.3,21.5,12.1,2.3
3/13/20,23,4.8,12.6,6.3,13.3,0.3,17.7,6.3,21.6,12.2,6
3/14/20,23.3,2.5,9.3,1.3,13.4,-2.4,17.6,9,17.5,9.9,2.5
3/15/20,23.6,2.1,8.2,1.4,13.7,2.9,15.5,12.5,17.8,8.4,0.5
3/16/20,24.9,3,4,2.3,13.5,2.8,17,5.5,18.4,6.4,1
3/17/20,24.1,4.6,8.7,5.7,13.4,5.7,18.3,12,19,6.9,4
3/18/20,25.1,5.7,8.7,4,14.4,5.2,16.4,14.3,20.9,6.3,2
3/19/20,25,8.9,8,6,15.2,3.5,14.9,12,24.2,7.8,4.5
3/20/20,24.5,6.2,13.3,10.3,14.4,1.1,14.9,14.3,27,7.8,6.3
3/21/20,24.5,-1.4,9.1,-1.5,14.4,0.4,14.8,14.3,21.5,8.6,-3.1
3/22/20,24.3,0,3.5,-0.7,14.6,-0.6,9.7,13.5,22.8,10.5,-1.5
3/23/20,24.5,2.6,4,1.8,9.2,2.1,7.5,13.5,20,9,1.6
3/24/20,24.1,3.1,6.7,3.6,6.4,2.9,10.8,12,20.2,8.2,3.4
3/25/20,25,7.8,6.2,6,8.2,5.2,11.4,15,20.6,7.7,3.8
3/26/20,25.7,7.5,8.3,8.7,9.1,5.2,12.2,8.8,19.4,8.8,5.7
3/27/20,24.8,6.5,14.2,4.3,11.5,3.9,12.4,8.8,20.1,9.9,4.3
3/28/20,25.4,10.5,7.9,7.1,12.2,1.8,15.1,7.9,19.8,9,4.6
3/29/20,25.4,9.4,7.4,10.7,13.7,0.6,10.3,10.5,21.2,9.6,6.8
3/30/20,25.4,6.7,7.6,6.6,13.9,0.6,11.2,12.1,22.3,11.5,7
3/31/20,25.7,3.8,6.8,5.4,11.2,3.9,12.4,13.4,21.6,8.8,5.4
4/1/20,20.7,6.1,7.5,7,8.1,5.9,13.5,12,22.7,7.7,5.6
4/2/20,19.3,7.5,9.5,9.1,10,2.7,15.4,12.3,22,8.1,8.8
4/3/20,21.2,13.7,9.8,7.4,12,2.1,17.3,15.8,21,7,7.3
4/4/20,22.2,6.1,10.5,8.3,12.8,1.9,15.4,14.1,22.2,8.6,7.6
4/5/20,19.2,5.6,11.6,6.6,14.2,3.6,13,11.4,19.2,10.2,7.7
4/6/20,21.8,11.1,13.3,7.5,14.5,6.8,15.9,15,18.3,9.5,6.5
4/7/20,23.6,19.5,14.1,9.4,16.2,8.6,11.8,14,18.3,10,7.5
4/8/20,24.6,12.8,12.1,13.2,16.2,6.5,6,10.8,17.9,9.9,8.8
4/9/20,25.8,6.3,11.4,6,15.8,5.1,4,9.5,18.7,10.3,6
4/10/20,25.5,5.2,6.7,4.1,16.4,5,6.4,11.3,18.5,10.1,3.7
4/11/20,23.6,11.7,8.9,7.5,15.7,1.7,11.7,14.9,19.2,12.9,4.4
