,Last_Update,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,name
43424,1/22/20,14,0,0,0,40.1824,116.4142,Beijing
13937,1/31/20,139,1,5,0,40.1824,116.4142,Beijing
43462,1/23/20,22,0,0,0,40.1824,116.4142,Beijing
54964,1/24/20,36,0,1,0,40.1824,116.4142,Beijing
54922,1/25/20,41,0,2,0,40.1824,116.4142,Beijing
27185,1/26/20,68,0,2,0,40.1824,116.4142,Beijing
27232,1/27/20,80,1,2,0,40.1824,116.4142,Beijing
44421,1/28/20,91,1,4,0,40.1824,116.4142,Beijing
44472,1/29/20,111,1,4,0,40.1824,116.4142,Beijing
13999,1/30/20,114,1,4,0,40.1824,116.4142,Beijing
56228,2/1/20,168,1,9,0,40.1824,116.4142,Beijing
13802,2/2/20,191,1,9,0,40.1824,116.4142,Beijing
13869,2/3/20,212,1,12,0,40.1824,116.4142,Beijing
13463,2/4/20,228,1,23,0,40.1824,116.4142,Beijing
13392,2/5/20,253,1,24,0,40.1824,116.4142,Beijing
34485,2/6/20,274,1,31,0,40.1824,116.4142,Beijing
34556,2/7/20,297,1,33,0,40.1824,116.4142,Beijing
13533,2/8/20,315,2,34,0,40.1824,116.4142,Beijing
13605,2/9/20,326,2,37,0,40.1824,116.4142,Beijing
43591,2/10/20,337,2,44,0,40.1824,116.4142,Beijing
43519,2/11/20,342,3,48,0,40.1824,116.4142,Beijing
12822,2/12/20,352,3,56,0,40.1824,116.4142,Beijing
12895,2/13/20,366,3,69,0,40.1824,116.4142,Beijing
27116,2/14/20,372,3,80,0,40.1824,116.4142,Beijing
27041,2/15/20,375,4,98,0,40.1824,116.4142,Beijing
55014,2/16/20,380,4,108,0,40.1824,116.4142,Beijing
55090,2/17/20,381,4,114,0,40.1824,116.4142,Beijing
219,2/18/20,387,4,122,0,40.1824,116.4142,Beijing
294,2/19/20,393,4,145,0,40.1824,116.4142,Beijing
14143,2/20/20,395,4,153,0,40.1824,116.4142,Beijing
14059,2/21/20,396,4,169,0,40.1824,116.4142,Beijing
55166,2/22/20,399,4,178,0,40.1824,116.4142,Beijing
55250,2/23/20,399,4,189,0,40.1824,116.4142,Beijing
43760,2/24/20,399,4,198,0,40.1824,116.4142,Beijing
43666,2/25/20,400,4,215,0,40.1824,116.4142,Beijing
